Informação;Número;Total;Percentual
Mutantes minimais;9;173;5.20
Mutantes equivalentes;9;173;5.20
Mutantes nos arcos primitivos;88;173;50.87
Mutantes na origem dos arcos primitivos;57;173;32.95
Mutantes no destino dos arcos primitivos;31;173;17.92

Minimais em arcos primitivos;3;9;33.33
Minimais na origem dos arcos primitivos;2;9;22.22
Minimais no destino dos arcos primitivos;1;9;11.11
Equivalentes em arcos primitivos;2;9;22.22
Equivalentes na origem dos arcos primitivos;1;9;11.11
Equivalentes no destino dos arcos primitivos;1;9;11.11
