Informação;Número;Total;Percentual
Mutantes minimais;16;246;6.50
Mutantes equivalentes;24;246;9.76
Mutantes nos arcos primitivos;140;246;56.91
Mutantes na origem dos arcos primitivos;126;246;51.22
Mutantes no destino dos arcos primitivos;14;246;5.69

Minimais em arcos primitivos;5;16;31.25
Minimais na origem dos arcos primitivos;5;16;31.25
Minimais no destino dos arcos primitivos;0;16;0.00
Minimais em primitivos ou com origem/destino em primitivos;5;16;31.25
Não Minimais em primitivos ou com origem/destino em primitivos;175;230;76.09
Minimais com nó origem em arcos primitivos;0;16;0.00
Minimais com nó destino em arcos primitivos;5;16;31.25
Equivalentes em arcos primitivos;3;24;12.50
Equivalentes na origem dos arcos primitivos;3;24;12.50
Equivalentes no destino dos arcos primitivos;0;24;0.00
Equivalentes em primitivos ou com origem/destino em primitivos;22;24;91.67
Não equivalentes em primitivos ou com origem/destino em primitivos;158;222;71.17
Equivalentes com nó origem em arcos primitivos;0;24;0.00
Equivalentes com nó destino em arcos primitivos;22;24;91.67
