Informação;Número;Total;Percentual
Mutantes minimais;9;173;5.20
Mutantes equivalentes;9;173;5.20
Mutantes nos arcos primitivos;88;173;50.87
Mutantes na origem dos arcos primitivos;57;173;32.95
Mutantes no destino dos arcos primitivos;31;173;17.92

Minimais em arcos primitivos;3;9;33.33
Minimais na origem dos arcos primitivos;2;9;22.22
Minimais no destino dos arcos primitivos;1;9;11.11
Minimais em primitivos ou com origem/destino em primitivos;6;9;66.67
Não Minimais em primitivos ou com origem/destino em primitivos;133;164;81.10
Minimais com nó origem em arcos primitivos;1;9;11.11
Minimais com nó destino em arcos primitivos;6;9;66.67
Equivalentes em arcos primitivos;2;9;22.22
Equivalentes na origem dos arcos primitivos;1;9;11.11
Equivalentes no destino dos arcos primitivos;1;9;11.11
Equivalentes em primitivos ou com origem/destino em primitivos;7;9;77.78
Não equivalentes em primitivos ou com origem/destino em primitivos;132;164;80.49
Equivalentes com nó origem em arcos primitivos;1;9;11.11
Equivalentes com nó destino em arcos primitivos;7;9;77.78
