Informação;Número;Total;Percentual
Mutantes minimais;8;496;1.61
Mutantes equivalentes;43;496;8.67
Mutantes nos arcos primitivos;432;496;87.10
Mutantes na origem dos arcos primitivos;82;496;16.53
Mutantes no destino dos arcos primitivos;350;496;70.56

Minimais em arcos primitivos;4;8;50.00
Minimais na origem dos arcos primitivos;0;8;0.00
Minimais no destino dos arcos primitivos;4;8;50.00
Minimais em primitivos ou com origem/destino em primitivos;8;8;100.00
Não Minimais em primitivos ou com origem/destino em primitivos;488;488;100.00
Minimais com nó origem em arcos primitivos;8;8;100.00
Minimais com nó destino em arcos primitivos;5;8;62.50
Equivalentes em arcos primitivos;37;43;86.05
Equivalentes na origem dos arcos primitivos;24;43;55.81
Equivalentes no destino dos arcos primitivos;13;43;30.23
Equivalentes em primitivos ou com origem/destino em primitivos;43;43;100.00
Não equivalentes em primitivos ou com origem/destino em primitivos;453;453;100.00
Equivalentes com nó origem em arcos primitivos;43;43;100.00
Equivalentes com nó destino em arcos primitivos;39;43;90.70
