#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity
33;Dead;Active;u-Cccr;7;0;1;1;0;0;[4, 4];4;4;4.0;[5, 2];2;5;3.5;[6, 8];[9, 10];[0, 0];[1, 0];94
34;Dead;Active;u-Cccr;7;0;1;1;0;0;[4, 4];4;4;4.0;[5, 2];2;5;3.5;[6, 8];[9, 10];[0, 0];[1, 0];94
35;Dead;Active;u-Cccr;7;0;1;1;0;0;[4, 4];4;4;4.0;[5, 2];2;5;3.5;[6, 8];[9, 10];[0, 0];[1, 0];94
36;Equivalent;Active;u-CCDL;3;0;0;0;0;1;[1];1;1;1.0;[8, 5, 8, 5];5;8;6.5;[1];[4, 5];[1];[0, 0];201
37;Dead;Active;u-CCDL;3;0;0;0;0;0;[1];1;1;1.0;[8, 5, 8, 5];5;8;6.5;[1];[4, 5];[1];[0, 0];201
38;Equivalent;Active;u-CCDL;3;0;0;0;0;1;[1];1;1;1.0;[8, 5, 8, 5];5;8;6.5;[1];[4, 5];[1];[0, 0];201
39;Dead;Active;u-CCDL;6;0;0;0;0;0;[3, 3];3;3;3.0;[6, 3];3;6;4.5;[4, 5];[7];[0, 0];[1];233
40;Dead;Active;u-CCDL;7;0;1;1;0;0;[4, 4];4;4;4.0;[5, 2];2;5;3.5;[6, 8];[9, 10];[0, 0];[1, 0];94
41;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
42;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
43;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
44;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
45;Dead;Active;u-Ccsr;1;1;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
46;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
47;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
48;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
49;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
50;Dead;Active;u-Ccsr;1;1;1;1;0;0;[0];0;0;0.0;[2, 9, 6, 9, 6];2;9;6.4;[];[2, 3];[];[1, 0];73
51;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
52;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
53;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
54;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
55;Dead;Active;u-Ccsr;2;1;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
56;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
57;Dead;Active;u-Ccsr;2;1;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
58;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
59;Dead;Active;u-Ccsr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
60;Dead;Active;u-Ccsr;2;1;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[11];[1];[0];82
61;Dead;Active;u-Ccsr;3;1;0;0;0;0;[1];1;1;1.0;[8, 5, 8, 5];5;8;6.5;[1];[4, 5];[1];[0, 0];201
