neighbors;accuracy;precision;recall;f1
1;71,06726606726606;70,0230294396961;73,91608391608392;71,86861667176719
2;68,08524808524808;75,85801034849186;53,483183483183474;62,59600238405465
3;70,78255078255079;69,14171373363814;75,68764568764568;72,13509487659948
4;72,07625707625708;75,70170184164964;65,34798534798534;69,98005674598636
5;71,30869130869131;70,59503584326279;73,62637362637362;71,96231019780261
6;70,52780552780553;73,54515355060136;64,32567432567433;68,56482310654972
7;72,20945720945721;72,21904199087298;72,6107226107226;72,31098520937971
8;71,68831168831169;73,39208962845427;68,46819846819847;70,78558791399672
9;71,81984681984682;71,91132060330372;71,82484182484184;71,84017419905928
10;72,21611721611721;74,30026800663384;68,21844821844823;71,0792685451163
11;72,08291708291709;71,53857463904801;73,36996336996336;72,39391995013527
12;72,46753246753246;73,94908840729273;69,49383949383949;71,62391363592067
13;72,6040626040626;72,05800135123364;74,15584415584415;72,97864113707718
14;73,38494838494839;74,8920142409167;70,8058608058608;72,66190644677167
15;72,08791208791207;71,48925364041642;73,64302364302364;72,46182509324713
16;72,72727272727273;73,7319052798929;70,79254079254079;72,17936479018753
17;70,65268065268066;70,36589020735362;71,81818181818181;70,97961856142967
18;70,4029304029304;71,85818296312456;67,42923742923742;69,53111974782392
19;69,62537462537462;69,42436919230168;70,27306027306027;69,83782741908122
20;69,8834498834499;70,88113357024224;67,95204795204795;69,3450940509764
21;69,37562437562438;69,558139902405;69,50715950715951;69,45735444289737
22;69,24408924408925;70,48423884652142;66,4035964035964;68,37398406346568
23;68,46986346986347;69,08276102449564;67,17615717615718;68,09945574651456
24;69,11754911754912;70,2631523164031;66,66000666000666;68,38859858474865
25;68,08691308691309;68,47377208227965;67,17948717948718;67,81452829270667
26;68,08524808524808;69,97701830333409;64,08924408924409;66,79250383881173
27;67,95371295371295;69,16857360793288;65,37129537129537;67,16220281215935
28;67,43922743922745;69,63563609080106;62,27106227106226;65,66179372888045
29;67,44255744255744;69,08690038783425;63,56976356976356;66,13509469948029
30;67,57076257076257;69,52824675324675;63,05028305028305;66,04696779196067
31;67,56410256410257;68,59831570701135;65,62770562770564;67,00605676531339
32;67,3043623043623;69,73573373220415;62,26107226107225;65,54494700701596
33;67,29936729936729;69,11240323355656;63,549783549783555;66,0403818602688
34;67,16949716949718;68,98751966551943;63,549783549783555;65,96787680364102
35;67,03962703962705;67,89499353441525;65,36463536463538;66,52270882439787
36;67,43256743256744;69,21216128171899;63,03363303363303;65,90862531729876
37;67,95204795204796;69,09851148168423;65,36796536796537;67,05235653386407
38;66,7898767898768;69,86761203245263;59,92673992673993;64,21428345014274
39;66,66333666333666;68,25708605120371;62,264402264402264;65,02192551449329
40;66,2803862803863;68,97838673715252;59,423909423909436;63,71730531636513
