,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,DigitReverser,u-Cccr,1,0,0.25,0.5,0.375,0.75,0.8333333333333334,0.8125,0.1834319526627219,While,0,0,1,0
1,DigitReverser,u-Cccr,1,0,0.25,0.5,0.375,0.75,0.8333333333333334,0.8125,0.1834319526627219,While,0,0,1,0
2,DigitReverser,u-Cccr,1,0,0.25,0.5,0.375,0.75,0.8333333333333334,0.8125,0.1834319526627219,While,1,0,0,1
3,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
4,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
5,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
6,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
7,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
8,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
9,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
10,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
11,DigitReverser,u-Cccr,0,1,0.5,0.6666666666666666,0.5625,1.0,0.6666666666666666,0.75,0.9763313609467456,Assignment,0,0,1,0
12,DigitReverser,u-Cccr,1,0,0.75,0.8333333333333334,0.8125,0.25,0.5,0.375,0.1893491124260355,While,0,0,0,1
13,DigitReverser,u-Cccr,1,0,0.75,0.8333333333333334,0.8125,0.25,0.5,0.375,0.1893491124260355,While,0,0,0,1
14,DigitReverser,u-Cccr,1,0,0.75,0.8333333333333334,0.8125,0.25,0.5,0.375,0.1893491124260355,While,1,0,0,1
15,DigitReverser,u-Cccr,0,1,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,Assignment,0,0,1,0
16,DigitReverser,u-Cccr,0,1,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,Assignment,0,0,1,0
17,DigitReverser,u-Cccr,0,1,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,Assignment,0,0,1,0
18,DigitReverser,u-Cccr,0,1,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,Assignment,0,0,1,0
19,DigitReverser,u-Cccr,0,1,1.0,1.0,1.0,0.5,0.3333333333333333,0.375,1.0,Assignment,0,0,1,0
