,ProgramName,Column,Classifier,Parameter,Accuracy,Precision,Recall,F1
0,cal,MINIMAL,RF,25.0,84.0628507295174,48.148148148148145,87.96992481203007,62.23404255319149
0,checkIt,MINIMAL,DT,15.0,56.730769230769226,41.55844155844156,100.0,58.71559633027523
0,oddOrPos,MINIMAL,RF,15.0,97.22991689750693,25.0,12.5,16.666666666666664
0,DigitReverser,MINIMAL,KNN,9.0,69.35483870967742,2.6143790849673203,57.14285714285714,5.0
0,countPositive,MINIMAL,KNN,12.0,78.80794701986756,10.0,37.5,15.789473684210527
0,RecursiveSelectionSort,MINIMAL,DT,15.0,86.84684684684684,9.58904109589041,50.0,16.091954022988507
0,Heap,MINIMAL,RF,65.0,93.55531686358755,11.11111111111111,20.0,14.285714285714285
0,testPad,MINIMAL,SVM,,75.99364069952306,18.30065359477124,51.85185185185185,27.053140096618357
0,date-plus,MINIMAL,DT,35.0,77.7363184079602,27.811860940695297,42.5,33.62175525339926
0,power,MINIMAL,KNN,14.0,77.23880597014924,8.064516129032258,55.55555555555556,14.084507042253518
0,MergeSort,MINIMAL,DT,75.0,87.18466195761857,8.403361344537815,35.714285714285715,13.60544217687075
0,jday-jdate,MINIMAL,RF,5.0,93.65473236440978,26.153846153846157,29.059829059829063,27.530364372469634
0,sum,MINIMAL,LR,,70.9090909090909,13.461538461538462,70.0,22.58064516129032
0,numZero,MINIMAL,GNB,,80.79470198675497,10.344827586206897,50.0,17.142857142857142
0,lastZero,MINIMAL,DT,25.0,92.48554913294798,25.0,22.22222222222222,23.52941176470588
0,CheckPalindrome,MINIMAL,RF,5.0,83.73493975903614,23.076923076923077,46.15384615384615,30.769230769230777
0,tcas,MINIMAL,RF,95.0,84.93788819875776,11.196911196911197,32.22222222222222,16.6189111747851
0,trashAndTakeOut,MINIMAL,KNN,40.0,79.13188647746243,36.97478991596639,46.808510638297875,41.31455399061033
0,twoPred,MINIMAL,RF,95.0,79.67479674796748,19.642857142857142,68.75,30.555555555555554
0,Calculation,MINIMAL,DT,85.0,79.65367965367966,15.24390243902439,33.78378378378378,21.008403361344538
0,findLast,MINIMAL,KNN,4.0,75.25252525252525,36.0655737704918,68.75,47.31182795698925
0,quicksort,MINIMAL,RF,85.0,91.03313840155946,3.488372093023256,25.0,6.122448979591836
0,LRS,MINIMAL,SVM,,65.3179190751445,26.861702127659576,80.15873015873017,40.2390438247012
0,printPrimes,MINIMAL,DT,75.0,88.25174825174825,19.19191919191919,82.6086956521739,31.147540983606557
0,UnixCal,MINIMAL,LDA,,52.42018537590113,10.53268765133172,73.72881355932203,18.43220338983051
0,InversePermutation,MINIMAL,DT,15.0,83.50694444444444,17.24137931034483,39.473684210526315,24.000000000000004
0,findVal,MINIMAL,RF,25.0,90.0,14.285714285714285,22.22222222222222,17.391304347826086
