,ProgramName,Column,Classifier,Accuracy,Precision,Recall,F1
0,lastZero,MINIMAL,LDA,61.27167630057804,7.352941176470589,55.55555555555556,12.987012987012989
0,countPositive,MINIMAL,KNN,68.87417218543047,4.651162790697675,25.0,7.843137254901962
0,Calculation,MINIMAL,DT,73.05194805194806,16.216216216216218,56.75675675675676,25.225225225225223
0,RecursiveSelectionSort,MINIMAL,RF,86.3063063063063,9.210526315789473,50.0,15.555555555555555
0,InversePermutation,MINIMAL,LDA,59.72222222222222,9.243697478991598,57.89473684210527,15.942028985507248
0,LRS,MINIMAL,SVM,65.3179190751445,26.861702127659576,80.15873015873017,40.2390438247012
0,CheckPalindrome,MINIMAL,LR,84.33734939759037,15.789473684210526,23.076923076923077,18.749999999999996
0,testPad,MINIMAL,SVM,75.99364069952306,18.30065359477124,51.85185185185185,27.053140096618357
0,quicksort,MINIMAL,LR,90.93567251461988,3.4482758620689653,25.0,6.06060606060606
0,UnixCal,MINIMAL,LDA,52.42018537590113,10.53268765133172,73.72881355932203,18.43220338983051
0,checkIt,MINIMAL,GNB,22.115384615384613,15.492957746478872,34.375,21.35922330097087
0,printPrimes,MINIMAL,RF,82.37762237762237,12.408759124087592,73.91304347826086,21.25
0,MergeSort,MINIMAL,RF,94.75277497477296,7.142857142857142,7.142857142857142,7.142857142857142
0,numZero,MINIMAL,GNB,80.79470198675497,10.344827586206897,50.0,17.142857142857142
0,Heap,MINIMAL,RF,83.45864661654136,3.597122302158273,20.0,6.097560975609756
0,DigitReverser,MINIMAL,SVM,57.86290322580645,2.358490566037736,71.42857142857143,4.566210045662101
0,jday-jdate,MINIMAL,RF,85.57249202410493,9.03954802259887,27.350427350427353,13.588110403397028
0,findVal,MINIMAL,LDA,70.52631578947368,8.771929824561402,55.55555555555556,15.151515151515149
0,findLast,MINIMAL,RF,81.81818181818183,44.73684210526316,53.125,48.57142857142857
0,power,MINIMAL,SVM,62.31343283582089,6.60377358490566,77.77777777777779,12.173913043478262
0,twoPred,MINIMAL,DT,80.48780487804879,20.37037037037037,68.75,31.428571428571423
0,cal,MINIMAL,SVM,56.79012345679012,22.489082969432314,77.44360902255639,34.85617597292725
0,sum,MINIMAL,LR,70.9090909090909,13.461538461538462,70.0,22.58064516129032
0,trashAndTakeOut,MINIMAL,GNB,34.72454090150251,16.173120728929387,75.53191489361703,26.64165103189493
0,tcas,MINIMAL,RF,81.05590062111801,11.878453038674033,47.77777777777778,19.026548672566374
0,date-plus,MINIMAL,KNN,66.58374792703151,18.27676240208877,43.75,25.78268876611418
0,oddOrPos,MINIMAL,GNB,58.17174515235457,3.2679738562091507,62.5,6.211180124223603
