,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,countPositive,u-CCDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
1,countPositive,u-Ccsr,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
2,countPositive,u-Ccsr,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
3,countPositive,u-Ccsr,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
4,countPositive,u-Ccsr,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
5,countPositive,u-Ccsr,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0,0,1
6,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
7,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
8,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
9,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
10,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
11,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
12,countPositive,u-CRCR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0,0,1
