,ProgramName,Column,Classifier,Accuracy,Precision,Recall,F1
0,numZero,MINIMAL,GNB,77.33333333333333,8.823529411764707,50.0,15.0
0,numZero,MINIMAL,KNN,64.66666666666666,5.660377358490567,50.0,10.16949152542373
0,numZero,MINIMAL,LDA,69.33333333333334,4.545454545454546,33.33333333333333,8.0
0,numZero,MINIMAL,LR,57.333333333333336,3.225806451612903,33.33333333333333,5.88235294117647
0,numZero,MINIMAL,DT,90.0,0.0,0.0,
0,numZero,MINIMAL,RF,96.0,,0.0,
0,numZero,MINIMAL,SVM,96.0,,0.0,
0,Calculation,MINIMAL,SVM,58.93824485373781,12.158808933002481,66.21621621621621,20.545073375262053
0,Calculation,MINIMAL,KNN,72.80606717226435,12.97071129707113,41.891891891891895,19.808306709265175
0,Calculation,MINIMAL,LDA,65.11375947995667,11.728395061728394,51.35135135135135,19.09547738693467
0,Calculation,MINIMAL,LR,60.13001083423619,10.483870967741936,52.702702702702695,17.48878923766816
0,Calculation,MINIMAL,GNB,47.34561213434453,9.607843137254903,66.21621621621621,16.78082191780822
0,Calculation,MINIMAL,RF,82.77356446370531,11.711711711711711,17.56756756756757,14.054054054054054
0,Calculation,MINIMAL,DT,60.88840736728061,8.405797101449275,39.189189189189186,13.842482100238662
0,jday-jdate,MINIMAL,DT,92.09219858156028,20.76502732240437,32.758620689655174,25.418060200668897
0,jday-jdate,MINIMAL,LDA,91.95035460992908,19.337016574585636,30.17241379310345,23.56902356902357
0,jday-jdate,MINIMAL,KNN,94.32624113475178,22.5,15.517241379310345,18.367346938775512
0,jday-jdate,MINIMAL,LR,95.67375886524823,38.46153846153847,8.620689655172415,14.084507042253522
0,jday-jdate,MINIMAL,SVM,10.141843971631205,4.342900302114804,99.13793103448276,8.321273516642549
0,jday-jdate,MINIMAL,GNB,22.163120567375884,3.8205242114615725,74.13793103448276,7.266582171525138
0,jday-jdate,MINIMAL,RF,81.24113475177305,3.5955056179775284,13.793103448275861,5.704099821746881
0,sum,MINIMAL,LDA,59.14634146341463,10.95890410958904,80.0,19.277108433734938
0,sum,MINIMAL,LR,62.19512195121951,10.606060606060606,70.0,18.421052631578945
0,sum,MINIMAL,DT,83.53658536585365,13.043478260869565,30.0,18.181818181818183
0,sum,MINIMAL,GNB,52.4390243902439,8.536585365853659,70.0,15.217391304347828
0,sum,MINIMAL,KNN,93.90243902439023,,0.0,
0,sum,MINIMAL,RF,93.29268292682927,0.0,0.0,
0,sum,MINIMAL,SVM,93.90243902439023,,0.0,
0,trashAndTakeOut,MINIMAL,DT,51.83946488294314,19.6875,67.02127659574468,30.43478260869565
0,trashAndTakeOut,MINIMAL,GNB,46.32107023411371,16.119402985074625,57.446808510638306,25.174825174825177
0,trashAndTakeOut,MINIMAL,KNN,49.83277591973244,12.132352941176471,35.1063829787234,18.0327868852459
0,trashAndTakeOut,MINIMAL,LDA,68.56187290969899,13.846153846153847,19.148936170212767,16.071428571428573
0,trashAndTakeOut,MINIMAL,LR,63.87959866220736,11.875,20.212765957446805,14.96062992125984
0,trashAndTakeOut,MINIMAL,SVM,59.030100334448164,1.910828025477707,3.1914893617021276,2.3904382470119523
0,trashAndTakeOut,MINIMAL,RF,70.73578595317726,2.3529411764705883,2.127659574468085,2.2346368715083798
0,checkIt,MINIMAL,DT,39.80582524271845,27.941176470588236,59.375,38.0
0,checkIt,MINIMAL,RF,40.77669902912621,27.692307692307693,56.25,37.11340206185567
0,checkIt,MINIMAL,KNN,44.66019417475729,3.7037037037037033,3.125,3.389830508474576
0,checkIt,MINIMAL,SVM,57.28155339805825,0.0,0.0,
0,checkIt,MINIMAL,LDA,57.28155339805825,0.0,0.0,
0,checkIt,MINIMAL,LR,57.28155339805825,0.0,0.0,
0,checkIt,MINIMAL,GNB,59.22330097087378,0.0,0.0,
0,tcas,MINIMAL,RF,75.71206628689798,9.594882729211088,50.0,16.100178890876567
0,tcas,MINIMAL,LR,74.41740031071984,8.436213991769549,45.55555555555556,14.236111111111112
0,tcas,MINIMAL,LDA,76.85137234593475,7.194244604316546,33.33333333333333,11.834319526627219
0,tcas,MINIMAL,KNN,55.825996892801655,6.098964326812428,58.88888888888889,11.053180396246091
0,tcas,MINIMAL,SVM,59.968928016571724,5.591677503250976,47.77777777777778,10.011641443538998
0,tcas,MINIMAL,GNB,47.6954945624029,5.426356589147287,62.22222222222222,9.982174688057043
0,tcas,MINIMAL,DT,68.51372345934749,3.584229390681003,22.22222222222222,6.172839506172839
0,findLast,MINIMAL,LR,63.45177664974619,25.882352941176475,70.96774193548387,37.931034482758626
0,findLast,MINIMAL,SVM,70.05076142131979,28.125,58.06451612903226,37.89473684210527
0,findLast,MINIMAL,LDA,57.868020304568525,24.509803921568626,80.64516129032258,37.59398496240601
0,findLast,MINIMAL,RF,75.1269035532995,23.52941176470588,25.806451612903224,24.615384615384613
0,findLast,MINIMAL,GNB,31.979695431472084,13.47517730496454,61.29032258064516,22.093023255813954
0,findLast,MINIMAL,KNN,42.13197969543147,10.476190476190476,35.483870967741936,16.176470588235293
0,findLast,MINIMAL,DT,75.1269035532995,9.090909090909092,6.451612903225806,7.547169811320755
0,power,MINIMAL,SVM,91.76029962546816,19.047619047619047,44.44444444444444,26.666666666666668
0,power,MINIMAL,RF,90.2621722846442,16.0,44.44444444444444,23.52941176470588
0,power,MINIMAL,KNN,82.77153558052434,10.638297872340425,55.55555555555556,17.857142857142854
0,power,MINIMAL,LDA,61.42322097378277,5.660377358490567,66.66666666666666,10.434782608695652
