Min;50.0;14.285714285714285;14.285714285714285;19.047619047619047
Max;64.28571428571429;42.857142857142854;71.42857142857143;61.9047619047619
Mean;51.42857142857143;28.57142857142857;51.42857142857142;31.9047619047619
Median;50.0;28.57142857142857;57.14285714285714;28.57142857142857

SampleSplit;Accuracy;Precision;Recall;F1
5;64.28571428571429;42.857142857142854;71.42857142857143;61.9047619047619
15;50.0;35.714285714285715;57.14285714285714;38.095238095238095
25;50.0;35.714285714285715;57.14285714285714;19.047619047619047
35;50.0;21.428571428571427;71.42857142857143;47.61904761904761
45;50.0;28.57142857142857;57.14285714285714;28.57142857142857
55;50.0;14.285714285714285;57.14285714285714;19.047619047619047
65;50.0;35.714285714285715;28.57142857142857;19.047619047619047
75;50.0;28.57142857142857;14.285714285714285;19.047619047619047
85;50.0;14.285714285714285;42.857142857142854;28.57142857142857
95;50.0;28.57142857142857;57.14285714285714;38.095238095238095
