,,,,,,,,,,,,,
Target,Classifier,Original,IM_COMPLEXITY,IM_DISTANCE_BEGIN_AVG,IM_DISTANCE_BEGIN_MAX,IM_DISTANCE_BEGIN_MIN,IM_DISTANCE_END_AVG,IM_DISTANCE_END_MAX,IM_DISTANCE_END_MIN,IM_OPERATOR,IM_SOURCE_PRIMITIVE_ARC,IM_TARGET_PRIMITIVE_ARC,IM_TYPE_STATEMENT
EQUIVALENT,DT,77.7285194165412,78.8443734782147,78.3593654665019,79.4236891857218,77.6817446244159,78.7042114021698,78.0508916021653,77.1649396704091,79.7798839277404,78.9866122134134,79.1544132086157,78.8110754618735
EQUIVALENT,GNB,69.3850382810272,69.2320019182916,69.6410318306131,69.3355869055994,69.5480291344668,69.4895721676373,69.3649989038999,69.5113663479697,69.4928595266375,69.6434910821137,69.30466307483,69.394965948061
EQUIVALENT,KNN,78.5335323152741,78.4345519429052,78.298774820312,78.1242947436551,79.3360586243157,77.2689521710216,79.1940904939619,78.1522370059486,76.815862527422,77.9303401160549,77.9517040816205,78.1859825677123
EQUIVALENT,LDA,74.3638744366774,73.9108454762629,73.5658069397173,74.9789553979507,73.8572878494539,73.8655646637027,73.7710915061357,74.1982764101545,74.2217425485628,73.9097040331453,73.492443847356,73.6675283517427
EQUIVALENT,LR,73.6865007549865,73.5632119754739,73.3721913170383,73.0802766008763,73.6739467631714,73.9457335010117,74.355013060742,74.7105447906238,75.2426846381963,72.2555431529569,73.9210497494674,74.3006495772603
EQUIVALENT,RF,82.2373846893712,80.9282397250303,80.9068976772696,81.5170459841422,82.0774890533549,81.8108412294695,81.2243562962123,82.3073971825882,81.7034778385974,81.28846682489,81.716465076715,81.1018832519793
EQUIVALENT,SVM,78.2703402698249,78.8169359598765,79.2175752293962,78.0413173000779,78.7281638317451,77.8711197093722,78.7870415818865,78.3757597377272,78.506758626701,78.5841462377645,79.0122014130324,78.4935317929592
MINIMAL,DT,80.2737395952463,81.1162420960647,80.4278447986926,79.7268263185145,79.2805857715603,80.3258256078116,81.2795099233717,82.0688414324771,80.0730338626367,81.4082829402627,80.5522207587317,80.292678352396
MINIMAL,GNB,21.7947326381826,13.0783924660755,59.6542265668273,54.4971516643927,62.0040460929999,20.9872834568714,53.7760090603468,43.5783056212299,64.6174380009419,14.6750416351847,62.0679647927596,65.224305900194
MINIMAL,KNN,73.4250371499808,74.6821291229027,73.7161035880202,74.4100484539628,74.012299785355,73.6068825212472,73.0904217576717,73.5886434884683,72.7305010475322,74.0452963617323,73.5737447494204,72.4695835699532
MINIMAL,LDA,67.4580305552609,69.5804747722751,69.5927321106217,68.8449481839809,70.1531205767046,69.6313387117956,70.0807584490174,69.1819709806778,69.2529938824417,69.4672939454745,68.230892464269,68.4053035445346
MINIMAL,LR,67.5470756917165,67.7510359498847,67.4759331975409,68.3438238599666,66.675159531099,68.5669078426574,67.9414387183674,69.3693017610533,69.2672842985932,68.5176771247731,68.8041704487002,67.3579290907155
MINIMAL,RF,82.5108266190746,83.0065942552953,82.9156686895897,83.4337938581383,83.3775765604891,82.907434706518,83.4634186053445,83.4165230054223,83.349678953868,83.1879471664211,83.0919954906512,83.640291991564
MINIMAL,SVM,74.7572962675028,75.6305627151459,75.3151434746665,74.7038288510902,75.416252773044,73.3814978057401,75.7944407243251,74.9544270602266,74.8253623647846,75.6364275498836,74.6981384805298,76.1271556487527
