,Column,Program,Classifier,Parameter
<<<<<<< HEAD
0,EQUIVALENT,lastZero,DT,85
0,EQUIVALENT,countPositive,DT,55
0,EQUIVALENT,Calculation,RF,15
0,EQUIVALENT,RecursiveSelectionSort,KNN,17
0,EQUIVALENT,InversePermutation,RF,65
0,EQUIVALENT,LRS,KNN,36
0,EQUIVALENT,CheckPalindrome,LDA,
0,EQUIVALENT,testPad,DT,25
0,EQUIVALENT,quicksort,RF,35
0,EQUIVALENT,UnixCal,LDA,
0,EQUIVALENT,checkIt,GNB,
0,EQUIVALENT,printPrimes,KNN,13
0,EQUIVALENT,MergeSort,KNN,1
0,EQUIVALENT,numZero,KNN,19
0,EQUIVALENT,Heap,KNN,23
0,EQUIVALENT,DigitReverser,SVM,
0,EQUIVALENT,jday-jdate,DT,35
0,EQUIVALENT,findVal,DT,75
0,EQUIVALENT,findLast,KNN,2
0,EQUIVALENT,power,RF,45
0,EQUIVALENT,twoPred,DT,45
0,EQUIVALENT,cal,RF,65
0,EQUIVALENT,sum,DT,15
0,EQUIVALENT,trashAndTakeOut,DT,95
0,EQUIVALENT,tcas,KNN,7
0,EQUIVALENT,date-plus,SVM,
0,EQUIVALENT,oddOrPos,KNN,34
=======
0,EQUIVALENT,cal,RF,65
0,EQUIVALENT,Calculation,RF,15
0,EQUIVALENT,checkIt,GNB,
0,EQUIVALENT,CheckPalindrome,LDA,
0,EQUIVALENT,countPositive,DT,55
0,EQUIVALENT,date-plus,SVM,
0,EQUIVALENT,DigitReverser,SVM,
0,EQUIVALENT,findLast,KNN,2
0,EQUIVALENT,findVal,DT,75
0,EQUIVALENT,Heap,KNN,23
0,EQUIVALENT,InversePermutation,RF,65
0,EQUIVALENT,jday-jdate,DT,35
0,EQUIVALENT,lastZero,DT,85
0,EQUIVALENT,LRS,KNN,36
0,EQUIVALENT,MergeSort,KNN,1
0,EQUIVALENT,numZero,KNN,19
0,EQUIVALENT,oddOrPos,KNN,34
0,EQUIVALENT,power,RF,45
0,EQUIVALENT,printPrimes,KNN,13
0,EQUIVALENT,quicksort,RF,35
0,EQUIVALENT,RecursiveSelectionSort,KNN,17
0,EQUIVALENT,sum,DT,15
0,EQUIVALENT,tcas,KNN,7
0,EQUIVALENT,testPad,DT,25
0,EQUIVALENT,trashAndTakeOut,DT,95
0,EQUIVALENT,twoPred,DT,45
0,EQUIVALENT,UnixCal,LDA,
>>>>>>> Implementation to search for the best parameter among the classifier parameters and also the best classifier among the program classifiers
