,ProgramName,Column,Classifier,Parameter,Accuracy,Precision,Recall,F1
0,cal,EQUIVALENT,RF,65.0,76.5432098765432,20.535714285714285,59.74025974025974,30.564784053156146
0,checkIt,EQUIVALENT,GNB,,70.1923076923077,8.823529411764707,100.0,16.21621621621622
0,oddOrPos,EQUIVALENT,KNN,34.0,64.26592797783933,25.6198347107438,44.285714285714285,32.46073298429319
0,DigitReverser,EQUIVALENT,SVM,,87.29838709677419,37.5,69.76744186046511,48.78048780487806
0,countPositive,EQUIVALENT,DT,55.0,72.18543046357617,14.893617021276595,77.77777777777779,25.0
0,RecursiveSelectionSort,EQUIVALENT,KNN,17.0,54.59459459459459,10.256410256410255,80.0,18.181818181818183
0,Heap,EQUIVALENT,KNN,23.0,69.92481203007519,19.269102990033225,61.05263157894737,29.292929292929294
0,testPad,EQUIVALENT,DT,25.0,73.44992050874404,15.18987341772152,42.10526315789473,22.325581395348838
0,date-plus,EQUIVALENT,SVM,,84.95024875621891,26.405867970660147,63.52941176470588,37.30569948186528
0,power,EQUIVALENT,RF,45.0,83.5820895522388,10.416666666666668,83.33333333333334,18.51851851851852
0,MergeSort,EQUIVALENT,KNN,1.0,79.41473259334006,9.090909090909092,57.57575757575758,15.702479338842975
0,jday-jdate,EQUIVALENT,DT,35.0,91.66962070187876,12.23404255319149,24.731182795698924,16.370106761565836
0,sum,EQUIVALENT,DT,15.0,86.66666666666667,26.08695652173913,54.54545454545454,35.29411764705882
0,numZero,EQUIVALENT,KNN,19.0,64.90066225165563,14.754098360655737,90.0,25.352112676056336
0,lastZero,EQUIVALENT,DT,85.0,71.67630057803468,12.962962962962962,77.77777777777779,22.22222222222222
0,CheckPalindrome,EQUIVALENT,LDA,,77.71084337349397,29.268292682926827,60.0,39.34426229508197
0,tcas,EQUIVALENT,KNN,7.0,69.40993788819875,34.95798319327731,50.48543689320388,41.31082423038729
0,trashAndTakeOut,EQUIVALENT,DT,95.0,86.64440734557596,17.28395061728395,51.85185185185185,25.925925925925924
0,twoPred,EQUIVALENT,DT,45.0,87.39837398373984,42.22222222222222,79.16666666666666,55.072463768115945
0,Calculation,EQUIVALENT,RF,15.0,74.78354978354979,20.242914979757085,58.139534883720934,30.03003003003003
0,findLast,EQUIVALENT,KNN,2.0,84.84848484848484,13.333333333333334,50.0,21.05263157894737
0,quicksort,EQUIVALENT,RF,35.0,82.94346978557505,17.482517482517483,30.48780487804878,22.22222222222222
0,LRS,EQUIVALENT,KNN,36.0,69.59537572254335,32.58426966292135,83.45323741007195,46.86868686868687
0,printPrimes,EQUIVALENT,KNN,13.0,69.65034965034965,18.614718614718615,59.72222222222222,28.38283828382838
0,UnixCal,EQUIVALENT,LDA,,72.04943357363543,15.215901302261821,64.91228070175438,24.652970571904493
0,InversePermutation,EQUIVALENT,RF,65.0,56.076388888888886,17.725752508361204,88.33333333333333,29.526462395543167
0,findVal,EQUIVALENT,DT,75.0,81.05263157894737,11.76470588235294,40.0,18.18181818181818
