,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,sum,u-Ccsr,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
1,sum,u-Ccsr,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
2,sum,u-Ccsr,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
3,sum,u-Ccsr,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
4,sum,u-Ccsr,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,0,1
5,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
6,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
7,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
8,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
9,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
10,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
11,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,1,0,0,1
12,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
13,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
14,sum,u-CRCR,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
15,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
16,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
17,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
18,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
19,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
20,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
21,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
22,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
23,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
24,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
25,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
26,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
27,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
28,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
29,sum,u-CRCR,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,1,0
30,sum,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,1,0
31,sum,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,1,0
32,sum,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,1,0
33,sum,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,1,0
34,sum,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.15584415584415584,Return,0,0,1,0
35,sum,u-OAAN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
36,sum,u-OAAN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
37,sum,u-OAAN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
38,sum,u-OAAN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
39,sum,u-OABN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,1,0,0,1
40,sum,u-OABN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
41,sum,u-OABN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,1,0,0,1
42,sum,u-OALN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
43,sum,u-OALN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
44,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
45,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
46,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
47,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
48,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
49,sum,u-OARN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
50,sum,u-OASN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
51,sum,u-OASN,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
52,sum,u-OCNG,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
53,sum,u-OEAA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,1,1,1
54,sum,u-OEAA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,1,0
55,sum,u-OEAA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,1,0
56,sum,u-OEAA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,1,0
57,sum,u-OEAA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,1,0
58,sum,u-OEAA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
59,sum,u-OEAA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
60,sum,u-OEAA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
61,sum,u-OEAA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
62,sum,u-OEAA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
63,sum,u-OEBA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,1,0,0
64,sum,u-OEBA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,0,1
65,sum,u-OEBA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,0,1
66,sum,u-OEBA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
67,sum,u-OEBA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
68,sum,u-OEBA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,1,0,0,1
69,sum,u-OESA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,0,1
70,sum,u-OESA,0,0,0,0,0.0,2,5,3.5,0.2077922077922078,For,0,0,0,1
71,sum,u-OESA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
72,sum,u-OESA,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
73,sum,u-Oido,0,0,3,3,3.0,2,2,2.0,0.0,For,0,0,1,0
74,sum,u-OODL,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
75,sum,u-OODL,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
76,sum,u-OODL,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
77,sum,u-OODL,0,1,2,2,2.0,3,3,3.0,1.0,Assignment,0,0,0,1
78,sum,u-ORAN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
79,sum,u-ORAN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,1,0,0
80,sum,u-ORAN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
81,sum,u-ORAN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
82,sum,u-ORAN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
83,sum,u-ORBN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
84,sum,u-ORBN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,0,1
85,sum,u-ORBN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,1,0,0
86,sum,u-ORLN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
87,sum,u-ORLN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
88,sum,u-ORRN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
89,sum,u-ORRN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,1,1,1
90,sum,u-ORRN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
91,sum,u-ORRN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,0,1,0
92,sum,u-ORRN,1,0,1,1,1.0,1,4,2.5,0.5714285714285714,For,0,1,1,1
