,ProgramName,Column,Classifier,Accuracy,Precision,Recall,F1
0,lastZero,EQUIVALENT,SVM,80.34682080924856,12.121212121212121,44.44444444444444,19.047619047619047
0,lastZero,EQUIVALENT,KNN,63.005780346820806,10.144927536231885,77.77777777777779,17.94871794871795
0,lastZero,EQUIVALENT,RF,66.47398843930635,8.47457627118644,55.55555555555556,14.705882352941178
0,lastZero,EQUIVALENT,DT,58.95953757225434,6.944444444444445,55.55555555555556,12.34567901234568
0,lastZero,EQUIVALENT,LDA,76.878612716763,3.0303030303030303,11.11111111111111,4.761904761904762
0,lastZero,EQUIVALENT,GNB,41.040462427745666,1.0526315789473684,11.11111111111111,1.923076923076923
0,lastZero,EQUIVALENT,LR,69.94219653179191,0.0,0.0,
0,countPositive,EQUIVALENT,KNN,60.9271523178808,12.121212121212121,88.88888888888889,21.333333333333336
0,countPositive,EQUIVALENT,RF,70.19867549668875,7.142857142857142,33.33333333333333,11.76470588235294
0,countPositive,EQUIVALENT,SVM,65.56291390728477,6.122448979591836,33.33333333333333,10.344827586206897
0,countPositive,EQUIVALENT,DT,58.94039735099338,5.084745762711865,33.33333333333333,8.823529411764705
0,countPositive,EQUIVALENT,LR,66.88741721854305,2.3255813953488373,11.11111111111111,3.8461538461538463
0,countPositive,EQUIVALENT,GNB,40.397350993377486,1.2048192771084338,11.11111111111111,2.1739130434782608
0,countPositive,EQUIVALENT,LDA,64.90066225165563,0.0,0.0,
0,Calculation,EQUIVALENT,SVM,71.32034632034632,14.624505928853754,43.02325581395349,21.828908554572273
0,Calculation,EQUIVALENT,LR,68.3982683982684,13.732394366197184,45.348837209302324,21.08108108108108
0,Calculation,EQUIVALENT,KNN,65.9090909090909,13.418530351437699,48.837209302325576,21.052631578947366
0,Calculation,EQUIVALENT,DT,74.02597402597402,13.333333333333334,32.55813953488372,18.91891891891892
0,Calculation,EQUIVALENT,LDA,62.66233766233766,11.343283582089553,44.18604651162791,18.05225653206651
0,Calculation,EQUIVALENT,RF,73.37662337662337,11.904761904761903,29.069767441860467,16.89189189189189
0,Calculation,EQUIVALENT,GNB,33.33333333333333,8.850931677018634,66.27906976744185,15.616438356164384
0,RecursiveSelectionSort,EQUIVALENT,LDA,60.36036036036037,10.300429184549357,68.57142857142857,17.91044776119403
0,RecursiveSelectionSort,EQUIVALENT,RF,69.1891891891892,10.465116279069768,51.42857142857142,17.39130434782609
0,RecursiveSelectionSort,EQUIVALENT,DT,43.96396396396396,8.433734939759036,80.0,15.258855585831062
0,RecursiveSelectionSort,EQUIVALENT,KNN,65.76576576576578,8.994708994708994,48.57142857142857,15.178571428571427
0,RecursiveSelectionSort,EQUIVALENT,GNB,24.324324324324326,7.126948775055679,91.42857142857143,13.223140495867769
0,RecursiveSelectionSort,EQUIVALENT,LR,58.55855855855856,7.423580786026202,48.57142857142857,12.87878787878788
0,RecursiveSelectionSort,EQUIVALENT,SVM,62.16216216216216,7.317073170731707,42.857142857142854,12.5
0,InversePermutation,EQUIVALENT,SVM,64.40972222222221,15.96244131455399,56.666666666666664,24.90842490842491
0,InversePermutation,EQUIVALENT,LR,68.57638888888889,15.428571428571427,45.0,22.978723404255316
