_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT
Calculation,u-ORRN,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-ORSN,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,1
Calculation,u-ORSN,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,1
Calculation,u-SMTC,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Declaration,0,0
Calculation,u-SMTT,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Declaration,0,0
Calculation,u-SMVB,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Declaration,0,0
Calculation,u-SRSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-SRSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-SRSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Block,0,0
Calculation,u-SRSR,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Block,0,0
Calculation,u-SSDL,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-SSDL,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-SSDL,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Block,0,0
Calculation,u-SSDL,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Block,0,0
Calculation,u-SSDL,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-SSDL,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Block,0,0
Calculation,u-STRP,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-STRP,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-STRP,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Block,0,0
Calculation,u-STRP,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Block,0,0
Calculation,u-STRP,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-STRP,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,Block,0,0
Calculation,u-SWDD,0,0,0.0,0.0,0.0,0.4,0.4444444444444444,0.5,0.4666666666666667,While,0,0
Calculation,u-VDTR,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VDTR,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VDTR,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,1
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,1
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-VDTR,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-VLSR,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VLSR,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-VLSR,0,1,0.5,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,Return,0,0
Calculation,u-VTWD,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VTWD,1,0,0.25,0.6,0.4444444444444444,0.2,0.3333333333333333,0.3333333333333333,0.12380952380952381,While,0,0
Calculation,u-VTWD,0,1,0.5,0.8,0.6666666666666666,0.4,0.2222222222222222,0.3333333333333333,0.0,Assignment,0,0
