Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT
findLast,u-Cccr,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.75,For,1,0
findLast,u-Cccr,1,0,0.25,0.25,0.25,0.0,0.875,0.7777777777777778,0.4722222222222222,For,0,0
findLast,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.027777777777777776,Return,0,0
findLast,u-CCDL,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.75,For,1,0
findLast,u-CCDL,1,0,0.25,0.25,0.25,0.0,0.875,0.7777777777777778,0.4722222222222222,For,0,0
findLast,u-Ccsr,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.75,For,0,0
findLast,u-Ccsr,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.75,For,0,0
findLast,u-Ccsr,1,0,0.25,0.25,0.25,0.0,0.875,0.7777777777777778,0.4722222222222222,For,1,0
findLast,u-Ccsr,1,0,0.25,0.25,0.25,0.0,0.875,0.7777777777777778,0.4722222222222222,For,1,0
findLast,u-Ccsr,1,0,0.5,0.5,0.5,1.0,0.75,0.8148148148148149,1.0,If,0,0
findLast,u-Ccsr,1,0,0.5,0.5,0.5,1.0,0.75,0.8148148148148149,1.0,If,0,0
findLast,u-Ccsr,1,0,0.5,0.5,0.5,1.0,0.75,0.8148148148148149,1.0,If,0,0
findLast,u-Ccsr,1,0,0.5,0.5,0.5,1.0,0.75,0.8148148148148149,1.0,If,0,0
findLast,u-Ccsr,1,0,0.5,0.5,0.5,1.0,0.75,0.8148148148148149,1.0,If,0,0
