Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Assignment,0,0
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Assignment,0,0
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Assignment,0,0
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Cccr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,1
trashAndTakeOut,u-Cccr,0,0,0.3333333333333333,0.25,0.2857142857142857,1.0,0.75,0.8571428571428571,0.9019607843137255,Assignment,0,0
trashAndTakeOut,u-Cccr,0,0,0.3333333333333333,0.25,0.2857142857142857,1.0,0.75,0.8571428571428571,0.9019607843137255,Assignment,0,0
trashAndTakeOut,u-Cccr,0,0,0.3333333333333333,0.25,0.2857142857142857,1.0,0.75,0.8571428571428571,0.9019607843137255,Assignment,0,0
trashAndTakeOut,u-Cccr,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,0
trashAndTakeOut,u-Cccr,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,1
trashAndTakeOut,u-Cccr,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,0
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.18627450980392157,Assignment,0,1
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.18627450980392157,Assignment,0,1
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.18627450980392157,Assignment,0,1
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.0,Assignment,0,0
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.0,Assignment,0,0
trashAndTakeOut,u-Cccr,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.0,Assignment,0,0
trashAndTakeOut,u-CCDL,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,1
trashAndTakeOut,u-CCDL,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,0
trashAndTakeOut,u-CCDL,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.18627450980392157,Assignment,0,1
trashAndTakeOut,u-CCDL,0,1,0.6666666666666666,0.75,0.7142857142857143,0.3333333333333333,0.25,0.2857142857142857,0.0,Assignment,0,0
trashAndTakeOut,u-Ccsr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Ccsr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Ccsr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Ccsr,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0
trashAndTakeOut,u-Ccsr,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,1
trashAndTakeOut,u-Ccsr,1,0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.5714285714285714,0.6862745098039216,If,0,1
