Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL
findVal,u-STRP,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424243,Block,0,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0
findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,1
findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
