Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL
UnixCal,u-Cccr,1,0,0.2,0.3157894736842105,0.27368421052631575,0.5555555555555556,0.2857142857142857,0.3463587921847247,0.11921708185053381,If,0,0
UnixCal,u-Cccr,1,0,0.2,0.3157894736842105,0.27368421052631575,0.5555555555555556,0.2857142857142857,0.3463587921847247,0.11921708185053381,If,0,0
UnixCal,u-Cccr,0,1,0.3,0.3684210526315789,0.3368421052631579,0.5555555555555556,0.25,0.3197158081705151,0.3914590747330961,Assignment,0,0
UnixCal,u-Cccr,0,1,0.3,0.3684210526315789,0.3368421052631579,0.5555555555555556,0.25,0.3197158081705151,0.3914590747330961,Assignment,0,0
UnixCal,u-Cccr,0,1,0.3,0.3684210526315789,0.3368421052631579,0.5555555555555556,0.25,0.3197158081705151,0.3914590747330961,Assignment,0,0
UnixCal,u-Cccr,0,1,0.3,0.3684210526315789,0.3368421052631579,0.5555555555555556,0.25,0.3197158081705151,0.3914590747330961,Assignment,0,0
UnixCal,u-Cccr,0,0,0.2,0.3157894736842105,0.27368421052631575,0.2222222222222222,0.25,0.23978685612788633,0.06227758007117438,Assignment,0,0
UnixCal,u-Cccr,0,0,0.2,0.3157894736842105,0.27368421052631575,0.2222222222222222,0.25,0.23978685612788633,0.06227758007117438,Assignment,0,0
UnixCal,u-Cccr,1,0,0.4,0.42105263157894735,0.4105263157894737,0.2222222222222222,0.17857142857142858,0.17761989342806395,0.06227758007117438,If,0,0
UnixCal,u-Cccr,1,0,0.4,0.42105263157894735,0.4105263157894737,0.2222222222222222,0.17857142857142858,0.17761989342806395,0.06227758007117438,If,0,0
