Min;50.0;15.0;30.0;20.0
Max;85.50000000000001;85.24999999999999;90.99999999999999;86.24281274281275
Mean;64.5;54.12023809523809;58.1;53.40416250416251
Median;63.625;55.904761904761905;56.25;60.21916971916972

SampleSplit;Accuracy;Precision;Recall;F1
5;85.50000000000001;83.58333333333334;90.99999999999999;85.79836829836832
15;81.75000000000001;85.24999999999999;81.5;86.24281274281275
25;76.0;80.08333333333333;77.0;71.35392385392386
35;74.5;80.47619047619048;69.0;70.2081807081807
45;69.75;71.80952380952381;52.5;65.2002442002442
55;57.49999999999999;40.0;40.0;55.23809523809524
65;50.0;30.0;30.0;20.0
75;50.0;15.0;60.0;26.666666666666668
85;50.0;25.0;50.0;33.33333333333333
95;50.0;30.0;30.0;20.0
