Min;50.0;30.0;60.0;47.81818181818181
Max;87.32142857142857;87.66666666666666;95.0;90.02287581699348
Mean;78.6875;75.79556277056277;82.42857142857143;81.04474752973205
Median;81.20535714285714;82.03517316017317;86.33928571428571;84.65062779497762

SampleSplit;Accuracy;Precision;Recall;F1
5;87.32142857142857;87.6017316017316;95.0;89.02614379084967
15;86.60714285714285;87.66666666666666;88.75;90.02287581699348
25;84.28571428571429;85.02777777777777;92.5;81.81194295900178
35;83.92857142857142;83.83225108225109;89.28571428571429;85.02726178190574
45;85.89285714285714;84.00793650793649;88.21428571428571;86.218954248366
55;78.48214285714286;80.23809523809524;84.46428571428571;81.14977488971297
65;77.32142857142857;73.98015873015873;72.67857142857143;85.4656862745098
75;76.875;73.66666666666667;79.28571428571429;84.27399380804953
85;76.16071428571429;71.93434343434345;74.10714285714286;79.63265990974968
95;50.0;30.0;60.0;47.81818181818181
