Min;50.0;25.0;20.0;26.666666666666668
Max;76.25;85.16666666666666;75.0;77.11904761904762
Mean;57.208333333333336;45.9;50.666666666666664;49.65
Median;50.0;30.833333333333332;50.0;50.0

SampleSplit;Accuracy;Precision;Recall;F1
5;76.25;85.16666666666666;75.0;77.11904761904762
15;66.66666666666667;80.83333333333333;71.66666666666666;59.23809523809525
25;62.916666666666664;57.833333333333336;63.33333333333334;59.40476190476189
35;66.25;68.5;66.66666666666666;67.4047619047619
45;50.0;31.666666666666664;40.0;33.33333333333333
55;50.0;30.0;20.0;26.666666666666668
65;50.0;25.0;50.0;46.666666666666664
75;50.0;25.0;40.0;26.666666666666668
85;50.0;30.0;30.0;53.333333333333336
95;50.0;25.0;50.0;46.666666666666664
