Min;57.67857142857144;60.003663003663;56.607142857142854;52.31500828182752
Max;73.66071428571428;75.53968253968254;79.10714285714285;73.85364145658264
Mean;67.74107142857143;69.34557387057387;67.41071428571428;65.47413564621466
Median;68.97321428571428;69.04761904761904;66.51785714285714;66.95507025654084

SampleSplit;Accuracy;Precision;Recall;F1
5;68.66071428571429;68.4920634920635;63.57142857142857;65.49891774891773
15;70.17857142857142;68.96825396825396;70.89285714285715;68.26093514328807
25;68.66071428571429;68.69444444444444;69.46428571428571;68.4388601594484
35;72.94642857142857;72.08730158730158;75.17857142857143;72.385638870933
45;73.66071428571428;72.77777777777779;76.60714285714285;73.85364145658264
55;71.51785714285714;69.12698412698413;79.10714285714285;72.94311759791637
65;69.28571428571428;75.53968253968254;62.32142857142857;65.64920536979362
75;67.14285714285715;75.26190476190477;56.607142857142854;62.35375082433906
85;57.67857142857144;60.003663003663;61.60714285714286;53.042281009100236
95;57.67857142857144;62.503663003663;58.75;52.31500828182752
