Min;50.0;0.0;0.0;0.0
Max;83.33333333333334;66.66666666666666;66.66666666666666;66.66666666666666
Mean;62.5;33.33333333333333;41.66666666666666;36.11111111111111
Median;58.33333333333333;33.33333333333333;49.99999999999999;38.888888888888886

SampleSplit;Accuracy;Precision;Recall;F1
1;83.33333333333334;66.66666666666666;66.66666666666666;66.66666666666666
2;66.66666666666666;33.33333333333333;33.33333333333333;33.33333333333333
3;50.0;33.33333333333333;66.66666666666666;44.44444444444444
4;50.0;0.0;0.0;0.0
