#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity
42;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
43;Equivalent;Active;u-CRCR;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
44;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
45;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
46;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
47;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
48;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
49;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
50;Dead;Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
51;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
52;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
53;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
54;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
55;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
56;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
57;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
58;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
59;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
60;Dead;Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
61;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
62;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
63;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
64;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
65;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
66;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
67;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
68;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
69;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
70;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
71;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
72;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
73;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
74;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
75;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
76;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
77;Dead;Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
78;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
79;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
80;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
81;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
82;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
83;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
84;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
85;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
86;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
87;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
88;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
89;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
90;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
91;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
92;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
93;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
94;Dead;Active;u-CRCR;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
95;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
96;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
97;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
98;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
99;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
100;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
101;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
102;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
103;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
104;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
105;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
106;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
107;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
108;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
109;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
110;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
111;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
112;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
113;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
114;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
115;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
116;Dead;Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
