Informação;Número;Total;Percentual
Mutantes minimais;14;555;2.52
Mutantes equivalentes;35;555;6.31
Mutantes nos arcos primitivos;209;555;37.66
Mutantes na origem dos arcos primitivos;131;555;23.60
Mutantes no destino dos arcos primitivos;78;555;14.05

Minimais em arcos primitivos;9;14;64.29
Minimais na origem dos arcos primitivos;8;14;57.14
Minimais no destino dos arcos primitivos;1;14;7.14
Minimais em primitivos ou com origem/destino em primitivos;14;14;100.00
Não Minimais em primitivos ou com origem/destino em primitivos;541;541;100.00
Minimais com nó origem em arcos primitivos;3;14;21.43
Minimais com nó destino em arcos primitivos;12;14;85.71
Equivalentes em arcos primitivos;13;35;37.14
Equivalentes na origem dos arcos primitivos;9;35;25.71
Equivalentes no destino dos arcos primitivos;4;35;11.43
Equivalentes em primitivos ou com origem/destino em primitivos;35;35;100.00
Não equivalentes em primitivos ou com origem/destino em primitivos;520;520;100.00
Equivalentes com nó origem em arcos primitivos;16;35;45.71
Equivalentes com nó destino em arcos primitivos;23;35;65.71
