TargetColumn,Classifier,Run,SampleSplit,Accuracy,Precision,Recall,F1
MINIMAL,KNN,1,1,73.59894668494336,74.07827707837184,72.66755645335834,73.32711574564054
MINIMAL,KNN,2,1,72.51875766539212,72.08933262880436,73.51309429334104,72.74664185146297
MINIMAL,KNN,3,1,73.38792294928216,73.19309551684577,74.10792872087151,73.58172064086374
MINIMAL,KNN,4,1,71.22538056417284,70.83474260450005,72.48755501046102,71.57890795372728
MINIMAL,KNN,5,1,73.1191833201068,72.33625877028875,75.13635379842725,73.60467521585727
MINIMAL,KNN,6,1,73.1788831974605,72.86033570599663,74.05382007070195,73.4181901665712
MINIMAL,KNN,7,1,74.7741865666258,74.73768359322702,74.95527018252652,74.78772179249064
MINIMAL,KNN,8,1,74.17231801457326,74.2785831247963,74.05526296803983,74.12168089242985
MINIMAL,KNN,9,1,73.38882476011833,73.43021388167269,73.5105692229998,73.4069071070313
MINIMAL,KNN,10,1,73.29918476300409,73.29330061001264,73.5102084986653,73.36851451351431
MINIMAL,KNN,11,1,72.42659259793666,72.45342940927003,72.54491017964072,72.42623699539087
MINIMAL,KNN,12,1,73.72015006132312,73.18383159243153,75.13707524709619,74.10180632354457
MINIMAL,KNN,13,1,72.6060529543323,72.74324898846457,72.36599090974678,72.50042946430304
MINIMAL,KNN,14,1,74.50526657528316,74.78395326477457,73.99574345285332,74.36125447857258
MINIMAL,KNN,15,1,73.38900512228555,73.11852244636043,74.05021282735733,73.53707594356578
MINIMAL,KNN,16,1,73.93261669432219,73.6404396214582,74.83370608181228,74.18213533044937
MINIMAL,KNN,17,1,74.14165644614386,74.14732939124733,74.29189813144798,74.18564504546141
MINIMAL,KNN,18,1,71.94394343842436,71.59028782542887,72.90815958444556,72.21037705047041
MINIMAL,KNN,19,1,72.81833922516412,73.40333797076413,71.82670802972369,72.52915383755705
MINIMAL,KNN,20,1,73.77930885217516,73.04553436731945,75.55551547507396,74.22742879100149
MINIMAL,KNN,21,1,73.75027054325082,74.40731132019519,72.5503210446577,73.38302454819492
MINIMAL,KNN,22,1,74.77472765312748,74.8735730270144,74.65370463891496,74.72953437251182
MINIMAL,KNN,23,1,72.7557535531347,72.76984390330256,73.02503426881177,72.80593696042675
MINIMAL,KNN,24,1,73.44798355097035,72.9271731299757,74.71322415410144,73.77709039698888
MINIMAL,KNN,25,1,74.20388139383883,73.34118185477524,76.03996825625858,74.62709372804446
MINIMAL,KNN,26,1,72.82032320900366,73.08116040078066,72.30863574056707,72.67593636515994
MINIMAL,KNN,27,1,73.23894379914869,73.04917309358945,73.80888824760117,73.36545983877384
MINIMAL,KNN,28,1,72.21610994877716,72.14943014532489,72.36635163408123,72.20860672798035
MINIMAL,KNN,29,1,73.81267585311303,73.82610670239865,73.98961113916747,73.86126139213886
MINIMAL,KNN,30,1,72.18562874251495,72.4599741205853,71.70117596133035,72.02677490080335
MINIMAL,DT,1,15,80.88377461943583,81.28295052971741,80.4934708895462,80.90759261869613
MINIMAL,DT,2,15,81.54588413534375,81.67254287034456,81.21744462881466,81.45252760823519
MINIMAL,DT,3,15,80.34340956640933,80.76973547986091,80.01154317870284,80.23015516773788
MINIMAL,DT,4,15,80.49238871654282,81.16049126953989,79.46937450400405,80.31439677044736
MINIMAL,DT,5,15,80.19280715677081,80.5566637343523,79.71178125676356,79.96998094141505
MINIMAL,DT,6,15,80.79611860616117,81.72773606882824,79.41238005915879,80.4471354362686
MINIMAL,DT,7,15,81.0951590794315,81.58918074813771,80.37154606449752,80.90684601321033
MINIMAL,DT,8,15,79.77021859894668,79.87441634156805,79.65226174157709,79.74737974540173
MINIMAL,DT,9,15,80.70449462520743,81.40388245034299,80.13238583074816,80.71744265290994
MINIMAL,DT,10,15,81.5783493254455,81.6850316798643,81.2181660774836,81.49652603496249
MINIMAL,DT,11,15,79.35249981963783,79.6013326710798,78.63357622105187,79.20497321020959
MINIMAL,DT,12,15,80.64353221268307,81.00227931609105,80.2496212394488,80.5132634288035
MINIMAL,DT,13,15,81.6964865449823,82.4084975406063,80.61178847125028,81.31044620678742
MINIMAL,DT,14,15,80.3125676358127,80.93226429320656,79.76877570160883,80.13704139250827
MINIMAL,DT,15,15,81.51828872375731,81.83543758999895,81.33720510785658,81.37323410038363
MINIMAL,DT,16,15,79.9523843878508,80.69051531613344,78.80672390159441,79.67494735862212
MINIMAL,DT,17,15,79.8315417358055,80.32655722968245,79.71466705143929,79.84747577673753
MINIMAL,DT,18,15,81.09371618209364,81.67276512579227,80.43286920135631,80.89701593362534
MINIMAL,DT,19,15,80.94455666979296,81.21369881761149,80.31130510064209,80.5505673101774
MINIMAL,DT,20,15,79.71178125676356,80.26649791179754,79.53069764086284,79.59802406855233
MINIMAL,DT,21,15,80.37407113483876,80.5925709463643,80.25503210446576,80.47451467849925
MINIMAL,DT,22,15,80.67437414327972,81.27550693753805,79.83442753048121,80.3474119278655
MINIMAL,DT,23,15,80.25214630979006,80.4649237875727,80.31274799797995,80.20900547164256
MINIMAL,DT,24,15,81.03473775340883,80.88429565568825,81.63552413245799,81.0460670225825
MINIMAL,DT,25,15,82.12069836231151,82.53261554597248,81.63913137580262,81.99493050663187
MINIMAL,DT,26,15,81.27642305749946,81.6270569146274,80.25611427746917,80.96567710383205
MINIMAL,DT,27,15,80.61665824976552,81.70127408633155,79.29045523411011,80.39988618986789
MINIMAL,DT,28,15,81.48726643099343,81.93664414184734,80.67419378111248,81.28600948032681
MINIMAL,DT,29,15,81.12708318303152,82.0044310904498,80.01442897337854,80.98288688456748
MINIMAL,DT,30,15,79.9529254743525,80.08123263156655,80.61431354159151,80.25083541733234
MINIMAL,RF,1,5,81.72750883774619,81.77846050105111,83.02178774980163,82.16979977525449
MINIMAL,RF,2,5,82.17895534232737,82.7475391639249,82.90347016809754,82.38706984158803
MINIMAL,RF,3,5,81.45931029507251,81.48558621601612,82.72455089820359,80.92276946601284
MINIMAL,RF,4,5,82.30160161604502,82.90274546161487,82.36274439073661,82.33345330363194
MINIMAL,RF,5,5,81.84853185195874,81.48157180988737,82.42298535459203,82.01604625975514
MINIMAL,RF,6,5,82.23865521968109,82.45111385883145,82.11709111896687,82.17672443912251
MINIMAL,RF,7,5,81.60901089387491,80.89574761709675,82.12033763797707,81.64777405005559
MINIMAL,RF,8,5,81.81841137003103,82.13529020695519,81.33864800519443,82.11838710362838
MINIMAL,RF,9,5,81.51810836159008,81.90498747295901,82.12105908664599,81.36582552492486
MINIMAL,RF,10,5,82.69136425943293,83.37435192278654,82.96371113195298,82.89478374296588
MINIMAL,RF,11,5,81.9385325734074,80.94583220349381,82.29817473486762,81.56186026284841
MINIMAL,RF,12,5,80.49473342471684,79.9846613130655,81.03708246158286,80.52127402293377
MINIMAL,RF,13,5,82.6010028136498,82.21798795505919,81.81985426736888,81.41963789529939
MINIMAL,RF,14,5,82.71986148185556,82.24412214518482,83.92395931029509,82.86971584861975
MINIMAL,RF,15,5,82.5698001587187,82.29400974455572,82.59829738114131,82.5435246370793
MINIMAL,RF,16,5,82.7507034124522,82.47105788447723,82.72166510352788,82.93555462602569
MINIMAL,RF,17,5,82.36112113123151,82.26525465321573,82.96443258062189,82.69044491617608
MINIMAL,RF,18,5,81.72714811341173,82.12829920284787,81.51684582641946,82.12343022004124
MINIMAL,RF,19,5,82.2096169107568,81.62257110597515,82.42046028425077,81.9412163157552
MINIMAL,RF,20,5,82.57070196955485,82.99029760885176,82.96190751028065,83.11288009629227
MINIMAL,RF,21,5,82.15099920640647,82.65617173179155,81.63516340812352,82.86776943318769
MINIMAL,RF,22,5,82.81112473847486,83.11258232570611,82.54274583363394,83.15137437322457
MINIMAL,RF,23,5,82.17967679099631,81.42576526818671,82.12105908664599,81.85266197319879
MINIMAL,RF,24,5,82.50973955703051,82.67419933103511,82.78010244571101,82.77368152538112
MINIMAL,RF,25,5,81.63696702979584,82.48156458091441,82.54130293629608,82.30263768678527
MINIMAL,RF,26,5,81.58051367145228,82.14605361715152,82.30394632421903,81.82438101940349
MINIMAL,RF,27,5,81.96829233100064,81.58882301894012,82.05685015511149,81.9623187356202
