TargetColumn,Classifier,Parameter,Accuracy,Precision,Recall,F1
MINIMAL,KNN,5,79.29647331842338,77.00946067096612,83.68829810259,80.16253156325496
MINIMAL,DT,15,80.44171897169515,80.75233852335349,79.98837265228579,80.32236531764661
MINIMAL,RF,5,81.88169444244043,81.48230670442746,82.65502729480797,81.95378851151182
MINIMAL,SVM,0,76.99183560589664,75.33753023089861,80.41304138710531,77.74621741941208
MINIMAL,LDA,0,68.01844503763556,69.2032358627767,65.1798210807301,67.05902877381463
MINIMAL,LR,0,68.57084625928864,69.68956324784871,65.94423201789192,67.6972943950517
MINIMAL,GNB,0,57.37842387514129,58.4832980767202,65.51584782242743,57.9457401045555
EQUIVALENT,KNN,3,72.85134328358208,71.12439482044348,77.09716417910448,73.94462363182086
EQUIVALENT,DT,15,78.33372719734662,78.27253977552166,78.71806799336649,78.46673822161637
EQUIVALENT,RF,5,80.02876036484244,79.18966882094485,81.91053897180761,80.49076765883652
EQUIVALENT,SVM,0,71.81061359867331,71.26254433986215,73.24372305140965,72.18332834872452
EQUIVALENT,LDA,0,73.53213101160863,72.87889146448305,75.10235489220567,73.92800107724021
EQUIVALENT,LR,0,73.40174958540632,73.13797779836962,74.08736318407959,73.56727085101403
EQUIVALENT,GNB,0,57.01794361525705,53.8664359684493,98.06456053067994,69.53103540656575
