Column,Classifier,BestParameter,F1_Min,F1_Max,F1_Mean,F1_Median,Accuracy_Min,Accuracy_Max,Accuracy_Mean,Accuracy_Median,Precision_Min,Precision_Max,Precision_Mean,Precision_Median,Recall_Min,Recall_Max,Recall_Mean,Recall_Median
MINIMAL,KNN,5,78.9422061161631,81.0271063321337,80.1625315632549,80.2728295881046,77.9344924608614,80.3113051006421,79.2964733184234,79.4110273429046,75.4932367242478,78.3438853295223,77.0094606709661,77.0203552278399,81.8772094365486,85.0674554505447,83.68829810259,83.8940191905346
MINIMAL,DT,15,78.6552114840613,81.889325020271,80.3223653176466,80.2436030750387,78.930091623981,82.0597359497872,80.4417189716952,80.4325986581055,78.6083183653117,83.1073401031069,80.7523385233535,80.849046450465,77.9694827213044,82.4211817329197,79.9883726522858,80.1015439001515
MINIMAL,RF,5,80.437847598362,84.6686843670301,81.9537885115118,81.8954273332409,80.2820864295505,84.3779308852175,81.8816944424404,81.8039823966525,79.4830989196491,84.0417766412311,81.4823067044275,81.4293229833046,80.85744174302,84.2882908881033,82.655027294808,82.6289589495707
MINIMAL,SVM,0,76.6408297274484,78.6328818259014,77.7462174194121,77.7985112866134,75.8276819854267,78.2062982468797,76.9918356058966,77.0915698723036,74.0032753900006,77.3617303804255,75.3375302308986,75.5088973451192,78.7472043864079,82.2382944953467,80.4130413871053,80.2831686025539
MINIMAL,LDA,0,65.2785622907379,68.5169741657857,67.0590287738146,67.0035332735294,66.5287497294568,69.1454440516557,68.0184450376356,67.9877894812784,67.7660625406092,71.0859515794718,69.2032358627767,69.2143058741536,63.0387417935214,67.4298391169468,65.1798210807301,65.171163696703
MINIMAL,LR,0,66.3918696414608,70.0231684667544,67.6972943950517,67.4487303745618,67.3984560998485,70.4703845321405,68.5708462592887,68.3475218238222,68.4193461663895,71.1688404108451,69.6895632478487,69.646545360256,63.1548950292187,68.9957434528533,65.9442320178919,65.8922516412957
MINIMAL,GNB,0,19.8055306330937,66.5952098489723,57.9457401045555,61.8048497885789,52.9195224009812,59.9065723973739,57.3784238751413,57.2988060024529,53.34579319547,68.5011418371533,58.4832980767202,57.383047280981,12.0983334535748,88.6811918332011,65.5158478224274,72.4709616910757
EQUIVALENT,KNN,3,72.2086867124851,75.4362917279631,73.9446236318208,73.9373848633952,71.0634328358209,74.2880597014925,72.8513432835821,72.8539800995025,69.4939903492358,72.8702572910731,71.1243948204435,71.211872641393,75.0353233830846,79.3805970149254,77.0971641791045,77.2069651741294
EQUIVALENT,DT,15,77.2782768199776,79.5946900962154,78.4667382216164,78.4409422569129,76.7598258706468,79.4569651741294,78.3337271973466,78.3963930348259,75.9825431560108,79.5074872856282,78.2725397755217,78.5500816507126,77.0323383084577,80.2776119402985,78.7180679933665,78.7313432835821
EQUIVALENT,RF,5,78.5754736513467,82.1845222828812,80.4907676588365,80.4084536704912,78.7320895522388,81.7794776119403,80.0287603648425,79.7799129353234,76.9658009674583,81.0865885839629,79.1896688209449,79.1568590535779,79.7276119402985,83.6746268656716,81.9105389718076,81.8531094527363
EQUIVALENT,SVM,0,70.1864226480217,73.20842634053,72.1833283487245,72.2336774389348,70.3924129353234,72.9160447761194,71.8106135986733,71.7905472636816,69.5483032922842,72.7992589019219,71.2625443398622,71.3211022453278,69.8417910447761,75.1360696517413,73.2437230514096,73.3681592039801
EQUIVALENT,LDA,0,72.3874204671381,75.0223610909045,73.9280010772402,74.0342176967277,71.9898009950249,74.913184079602,73.5321310116086,73.6161069651741,71.4510147024251,74.7758620464482,72.8788914644831,72.8221666322099,72.7937810945274,77.0833333333333,75.1023548922056,75.1633084577115
EQUIVALENT,LR,0,72.3438697445123,74.7382918649528,73.567270851014,73.5309992628715,72.0169154228856,74.611815920398,73.4017495854063,73.4292288557214,71.3793440971484,74.4107654295442,73.1379777983696,73.1961635736785,72.8373134328358,75.136815920398,74.0873631840796,73.9652985074627
EQUIVALENT,GNB,0,69.0601038157992,69.8661894898267,69.5310354065657,69.543866337219,56.0424129353234,57.6878109452736,57.0179436152571,57.088868159204,53.2839498045286,54.2759391780765,53.8664359684493,53.9029606175591,97.4044776119403,98.6014925373134,98.0645605306799,98.0782338308458
