TargetColumn,Classifier,SampleSplit,Accuracy,Precision,Recall,F1
EQUIVALENT,KNN,32,76.1451119402985,74.91160502636421,78.74896351575457,76.73902362024712
EQUIVALENT,KNN,33,76.09946102819238,74.03446339391047,80.53145936981758,77.10564827590584
EQUIVALENT,KNN,34,76.04026533996684,74.832639512831,78.58897180762852,76.62124123862858
EQUIVALENT,KNN,35,76.03772802653403,74.03443410201673,80.32808457711444,77.01466842594829
EQUIVALENT,KNN,36,76.01269071310116,74.79509221523159,78.58393864013267,76.59993624805591
EQUIVALENT,KNN,37,75.86305140961856,73.90665606714825,80.09201492537314,76.83418000208847
EQUIVALENT,KNN,38,75.91043532338308,74.66939507728608,78.54586235489222,76.51717123148167
EQUIVALENT,KNN,39,75.85975953565507,73.89332872673688,80.10872305140963,76.83783953028522
EQUIVALENT,KNN,40,75.92635572139304,74.60870745724264,78.73716417910448,76.57695960025806
MINIMAL,DT,15,80.71254478993819,81.15910095741717,80.18713176057524,80.57513988196135
MINIMAL,DT,25,80.46672318014573,80.63634528155802,80.32935334150974,80.43454998141797
MINIMAL,DT,35,80.16168867085108,80.13678483017937,80.35355794435226,80.14815394712491
MINIMAL,DT,45,79.88072048673737,79.90312697193073,80.06876608229325,79.93545403199747
MINIMAL,DT,55,79.6328788206719,79.51227483626657,80.028581391434,79.68690076162036
MINIMAL,DT,65,79.39095904576389,79.24206094479545,79.81369790539402,79.47345255698882
MINIMAL,DT,75,79.11798691773082,78.98931204020458,79.56479811461413,79.21095574435559
MINIMAL,DT,85,78.77975975759324,78.49023813672106,79.45047254887815,78.91928136867988
MINIMAL,DT,95,78.54693624798595,78.45206756854574,78.95262487074044,78.60306074147691
EQUIVALENT,DT,15,78.1833167495854,78.26548856308321,78.20081260364842,78.18643599548733
EQUIVALENT,DT,25,78.07260364842455,77.86331909126226,78.49531509121061,78.14332014237533
EQUIVALENT,DT,35,78.044315920398,77.6291653312547,78.94614427860695,78.2515693674748
EQUIVALENT,DT,45,77.84974709784412,77.28332835001154,78.99961857379768,78.11594799341923
EQUIVALENT,DT,55,77.55365257048093,77.03334600809877,78.70517412935322,77.81994316800225
EQUIVALENT,DT,65,77.2874543946932,76.86523285664471,78.25561359867328,77.5018933256577
EQUIVALENT,DT,75,76.96787728026534,76.5217041761117,78.02099502487563,77.20641652425834
EQUIVALENT,DT,85,76.64761608623549,76.28392930029196,77.54708126036483,76.85962762370414
EQUIVALENT,DT,95,76.52452321724711,76.18545562558235,77.36071310116085,76.70430684010418
MINIMAL,RF,15,81.8666101531876,82.43543750108513,81.41785104489814,81.81439588368875
MINIMAL,RF,25,81.4448993579107,82.30227628581716,80.02693408363997,81.12259641712193
MINIMAL,RF,35,80.983364596109,82.23831929623233,78.73617824591783,80.3316299349351
MINIMAL,RF,45,80.23289565447416,82.13122176791516,77.46802779982205,79.81693567022823
MINIMAL,RF,55,79.88560830146938,82.11860114924124,76.48061707909483,79.34378477402564
MINIMAL,RF,65,79.54248130245536,81.93959267754788,75.86867229396628,78.74016214756249
MINIMAL,RF,75,79.26059327128874,81.60189220143192,75.07973210206093,78.32692296381744
MINIMAL,RF,85,78.88235577038694,81.56770213469639,74.70284731741336,78.0490739121977
MINIMAL,RF,95,78.44898155496236,81.21193154444262,74.56194839237189,77.64818325941818
EQUIVALENT,RF,15,80.4182711442786,79.83678228921242,81.7907960199005,80.745503717465
EQUIVALENT,RF,25,80.28118988391375,79.77209488209688,80.95480928689882,80.32812844411701
EQUIVALENT,RF,35,79.8942537313433,79.76721678223969,80.30284411276948,80.0035687350789
EQUIVALENT,RF,45,79.5979311774461,79.63980508771004,79.78529021558873,79.65720794300715
EQUIVALENT,RF,55,79.3184328358209,79.59738303537377,79.17619402985075,79.35214394644707
EQUIVALENT,RF,65,79.18026533996684,79.38170951532211,78.65051409618576,78.86686146517235
EQUIVALENT,RF,75,78.89001658374794,79.26060737065664,78.20257877280268,78.70198409332065
EQUIVALENT,RF,85,78.56698590381426,79.11411421502271,77.7282752902156,78.43797779216263
EQUIVALENT,RF,95,78.39919154228855,78.94208411535988,77.50347429519071,78.09192867775148
